epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,16693.3,0.30822,0.19835,0.80346,0.99184,0.99203,0.99327,0.96029,0.28277,0.14909,0.79027,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16975.3,0.30633,0.198,0.80278,0.99161,0.9922,0.9933,0.96036,0.28272,0.14878,0.79029,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,17253.3,0.30574,0.19587,0.80283,0.99025,0.99349,0.9933,0.96033,0.28254,0.14851,0.79026,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17528.4,0.30569,0.19431,0.8027,0.99199,0.9919,0.99334,0.96028,0.28248,0.14808,0.79027,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17808.1,0.30404,0.1937,0.80099,0.99274,0.99191,0.99338,0.96027,0.28253,0.14758,0.79021,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18083,0.30423,0.1939,0.8028,0.99223,0.99252,0.9934,0.96032,0.28241,0.14711,0.7902,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,18357.8,0.30162,0.19163,0.80211,0.99289,0.99198,0.99345,0.96034,0.28228,0.14667,0.79021,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18633.6,0.3016,0.19107,0.80184,0.99307,0.99242,0.99345,0.96036,0.28218,0.14656,0.79017,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,18909.7,0.30052,0.19015,0.8011,0.99297,0.99234,0.99346,0.96036,0.28217,0.14646,0.79012,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19185,0.30003,0.18807,0.80125,0.993,0.99249,0.99347,0.96035,0.2821,0.14611,0.7901,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19462.5,0.29795,0.18842,0.80051,0.99338,0.99221,0.99351,0.96031,0.28216,0.1459,0.79006,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,19737.6,0.29688,0.18583,0.8008,0.99315,0.99257,0.99353,0.96054,0.28204,0.1457,0.79004,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20012.8,0.29559,0.18546,0.8001,0.99292,0.99285,0.99354,0.96062,0.28195,0.14559,0.79004,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,20287.9,0.2953,0.18469,0.80086,0.99356,0.99222,0.99356,0.96055,0.2819,0.14517,0.79004,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,20563.7,0.29389,0.18306,0.79975,0.99255,0.99331,0.99353,0.96053,0.28188,0.14527,0.79004,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,20841.7,0.29279,0.1812,0.79813,0.99226,0.99354,0.99354,0.96063,0.28184,0.14498,0.79003,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21116.6,0.29141,0.18028,0.79936,0.99242,0.99357,0.99354,0.96051,0.28181,0.14466,0.79,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,21392.2,0.28986,0.17907,0.7983,0.99269,0.9932,0.99354,0.9605,0.28171,0.14455,0.79001,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,21667,0.29006,0.17836,0.79905,0.99277,0.99324,0.99354,0.96054,0.2817,0.14447,0.79001,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,21942.3,0.2887,0.17813,0.79833,0.99259,0.99351,0.99354,0.96049,0.28175,0.14412,0.79001,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,22217.9,0.28682,0.176,0.79768,0.99268,0.99337,0.99354,0.96062,0.28171,0.14397,0.78999,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22493.5,0.28668,0.17454,0.79717,0.99253,0.99375,0.99355,0.96049,0.28173,0.14396,0.79001,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22774.6,0.28325,0.17335,0.79684,0.99267,0.99373,0.99357,0.96067,0.28174,0.14383,0.79001,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23049.8,0.28277,0.17202,0.7972,0.99263,0.99371,0.99357,0.96047,0.28173,0.14376,0.79001,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,23327.4,0.28141,0.16894,0.79669,0.99259,0.99365,0.99357,0.96043,0.2817,0.14366,0.79001,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23604.6,0.28015,0.16921,0.79614,0.99247,0.99371,0.99356,0.96057,0.28171,0.14371,0.79,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23879.1,0.28035,0.16955,0.79589,0.99206,0.99412,0.99345,0.96042,0.2817,0.14353,0.79001,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24155.3,0.27912,0.16896,0.7967,0.99192,0.99436,0.99344,0.9604,0.28179,0.14354,0.79,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,24430.4,0.27746,0.16615,0.79616,0.99188,0.99434,0.99344,0.96034,0.28176,0.14347,0.79001,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,24706.7,0.27611,0.16485,0.79633,0.99192,0.99444,0.99344,0.96048,0.28181,0.14347,0.79004,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,24982,0.27329,0.16373,0.79566,0.99207,0.99414,0.99345,0.96057,0.28183,0.14361,0.79002,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,25256.1,0.25677,0.13286,0.78479,0.99211,0.99421,0.99345,0.96043,0.28189,0.14358,0.79004,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,25529,0.25541,0.13276,0.78321,0.99168,0.99465,0.99344,0.96046,0.28196,0.14364,0.79004,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,25801.9,0.2534,0.13065,0.78349,0.99152,0.99492,0.99344,0.96045,0.28194,0.14377,0.79005,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26074.8,0.25181,0.13015,0.7833,0.99163,0.99479,0.99345,0.9605,0.28197,0.14378,0.79006,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,26347.8,0.24978,0.12871,0.78138,0.99161,0.99476,0.99343,0.96062,0.28206,0.14389,0.79009,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,26620.8,0.2482,0.12795,0.78205,0.99162,0.99472,0.99347,0.96046,0.28214,0.14371,0.7901,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,26893.7,0.24691,0.12633,0.78327,0.99135,0.99489,0.99346,0.9604,0.28219,0.14377,0.79009,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,27166.6,0.24535,0.12532,0.78118,0.99137,0.99488,0.99346,0.96017,0.28221,0.14397,0.7901,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,27439.5,0.24423,0.12487,0.78116,0.99133,0.99495,0.99346,0.96037,0.28224,0.14386,0.7901,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,27712.5,0.2428,0.12369,0.78201,0.99146,0.99477,0.99346,0.96021,0.28237,0.14396,0.79015,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
